"scenario","p","m","n_true","n_ratio","m_ratio","method","n_rep","bias","relative_bias","rmse","posterior_sd","coverage_95","stein_loss","median_runtime","mean_runtime","mean_acceptance_rate"
"p30_m50_n240",30,50,240,8,1.66666666666667,"MLE",1000,4.51727739728444,0.0188219891553519,5.00519727910522,NA,NA,0.0451027316617426,0,0.000460000000004584,NA
"p30_m50_n240",30,50,240,8,1.66666666666667,"RWM",1000,8.597822754479,0.0358242614769958,9.02633478382243,1.73201923942135,0.023,0.0585461510411273,2.03999999999996,2.05320999999998,0.0182418104526132
"p3_m100_n4",3,100,4,1.33333333333333,33.3333333333333,"Collapsed",1000,0.0355971604689792,0.00889929011724479,0.160218483200039,0.154605946624195,0.946,0.0170284521646051,0.100000000000364,0.10375000000002,NA
"p3_m100_n4",3,100,4,1.33333333333333,33.3333333333333,"MLE",1000,0.0269069120147023,0.00672672800367557,0.157670504742475,NA,NA,0.0169963263465367,0,0.000399999999998727,NA
"p3_m100_n4",3,100,4,1.33333333333333,33.3333333333333,"RWM",1000,0.0373448148306523,0.00933620370766307,0.165437233621456,0.154410513407966,0.944,0.0170570762153477,0.859999999999673,0.864179999999994,0.179993248312078
"p5_m100_n6",5,100,6,1.2,20,"Collapsed",1000,0.0444377206389594,0.00740628677315991,0.144288500494414,0.129812560664276,0.934,0.0265256160714109,0.109999999999673,0.105230000000005,NA
"p5_m100_n6",5,100,6,1.2,20,"MLE",1000,0.0299980902068676,0.0049996817011446,0.139202174441212,NA,NA,0.0264881576160723,0,0.000400000000002365,NA
"p5_m100_n6",5,100,6,1.2,20,"RWM",1000,0.0452848674962327,0.00754747791603878,0.15187468123337,0.129154397436469,0.913,0.0265275954107854,0.889999999999418,0.897610000000021,0.131701175293823
"p10_m100_n11",10,100,11,1.1,10,"Collapsed",1000,0.0574864219551701,0.00522603835956092,0.122307091295173,0.107316368375161,0.945,0.050386159029806,0.109999999999673,0.114309999999991,NA
"p10_m100_n11",10,100,11,1.1,10,"MLE",1000,0.0337414794002323,0.00306740721820294,0.110432311576851,NA,NA,0.0503196359876804,0,0.000619999999999891,NA
"p10_m100_n11",10,100,11,1.1,10,"RWM",1000,0.0564505742008874,0.00513187038189886,0.126450541997532,0.106447995664423,0.902,0.0503922330026549,0.989999999999782,0.997540000000002,0.0627726931732933
"p20_m100_n21",20,100,21,1.05,5,"Collapsed",1000,0.0803530007852582,0.00382633337072658,0.129114946217306,0.0925242484141665,0.964,0.100533902921834,0.130000000000109,0.129420000000005,NA
"p20_m100_n21",20,100,21,1.05,5,"MLE",1000,0.0398768715830638,0.00189889864681256,0.10284640968591,NA,NA,0.10045905413611,0,0.00062999999999829,NA
"p20_m100_n21",20,100,21,1.05,5,"RWM",1000,0.0766512993175443,0.00365006187226401,0.130137490151706,0.0907540369832067,0.823,0.100566048384759,1.16000000000076,1.17092999999999,0.0295283820955239
